No,IssueAccommodation,IssueDestination,IssueTransportation,IssueSeason,Arg. Label,Arg. Value,Text,Excited,Happy,Neutral,Sad,Angry,IssueAccommodationAgent,IssueDestinationAgent,IssueTransportationAgent,IssueSeasonAgent,IssueAccommodationHuman,IssueDestinationHuman,IssueTransportationHuman,IssueSeasonHuman,Domain,
1,Caravan,London,Car,Autumn,"Any","0","i want to go to london on fall . we can stay in caravan and travel with it .",0.0,1.0,0.0,0.0,0.0,,,,,,,,,Holiday1,
3,Hostel,London,Car,Autumn,"Comparison","Hotel","what do you think about staying in hostel instead of hotel ?",0.0,0.0,1.0,0.0,0.0,Hotel,Tokyo,Taxi,Winter,Caravan,London,Car,Autumn,Holiday1,
5,Hostel,London,Car,Autumn,"Conditional Constraint-n-r,Comparison","Winter;London,Hotel","winter can be cold in london . using car is a good option , i want to stay in hostel instead of hotel .",0.0,0.21,0.79,0.0,0.0,Hotel,Tokyo,Taxi,Winter,Hostel,London,Car,Autumn,Holiday1,
7,House,London,Car,Autumn,"Conditional Constraint-n-d","Tokyo;Winter","i don't want to go to tokyo in winter . i want to go to london on fall . i want to use car . i want to stay in a house .",0.0,0.0,0.0,0.0,1.0,Hotel,Tokyo,Subway,Winter,Hostel,London,Car,Autumn,Holiday1,
9,Caravan,London,Car,Spring,"Rewarding-cc","Spring","we can go to spring , if we go to london and stay in caravan . we can travel with it .",0.0,0.0,0.0,0.0,1.0,House,Tokyo,Subway,Autumn,House,London,Car,Autumn,Holiday1,
11,Caravan,Paris,Car,Spring,"Comparison","London","what about going paris instead of london ?",0.0,0.0,0.0,1.0,0.0,Caravan,Istanbul,Car,Winter,Caravan,London,Car,Spring,Holiday1,
13,Caravan,Paris,Car,Autumn,"Rewarding-cc","Caravan","we can stay in caravan if we go on autumn to paris . we can use car for traveling .",0.0,0.0,0.55,0.45,0.0,House,Paris,Car,Winter,Caravan,Paris,Car,Spring,Holiday1,
15,Caravan,Istanbul,Car,Autumn,"Rewarding-cc,Rewarding-cc","Istanbul,Caravan","okay , let's go to istanbul and stay in caravan as you wish , we can use car for in city transportation in fall .",0.0,0.0,0.55,0.45,0.0,Caravan,Istanbul,Car,Winter,Caravan,Paris,Car,Autumn,Holiday1,
17,House,Berlin,Car,Autumn,"Conditional Constraint-n-r","Winter;London","london in winter could be cold . let's stay in house and go to berlin in autumn . we can use car for traveling .",0.0,0.48,0.31,0.21,0.0,House,London,Car,Winter,Caravan,Istanbul,Car,Autumn,Holiday1,
19,Tent,Berlin,Bike,Autumn,"Any","0","let's stay in a tent and use bike in berlin on fall .",0.0,0.0,0.0,1.0,0.0,House,Berlin,Bus,Spring,House,Berlin,Car,Autumn,Holiday1,
21,Tent,London,Bike,Autumn,"Preference-p-d,Conditional Constraint-p-d","London,Bike;London","i love london ! : ) riding bike is the best option in london in autumn . we can stay in tent ?",0.0,1.0,0.0,0.0,0.0,Hostel,London,Bike,Autumn,Tent,Berlin,Bike,Autumn,Holiday1,
23,House,London,Bike,Autumn,"Rewarding-cc","House","i can stay in house if we ride bike ?",0.0,1.0,0.0,0.0,0.0,House,London,Subway,Autumn,Tent,London,Bike,Autumn,Holiday1,
25,Caravan,London,Bike,Spring,"Preference-p-d","London","i am ok if we go to london",0.13,0.48,0.13,0.13,0.13,Caravan,Berlin,Bike,Spring,House,London,Bike,Autumn,Holiday1,
27,Caravan,Paris,Bike,Spring,"Comparison","Berlin","what about paris instead of berlin ?",0.13,0.48,0.13,0.13,0.13,Caravan,Berlin,Bike,Spring,Caravan,London,Bike,Spring,Holiday1,
29,Caravan,Paris,Bike,Spring,"Hard Constraint-p-d","Paris","but i want to go to paris !",0.0,0.0,0.0,0.7,0.3,Caravan,Berlin,Bike,Spring,Caravan,Paris,Bike,Spring,Holiday1,
31,House,London,Bike,Spring,"Rewarding-cc","House","i can accept house if we go to london in spring . we can use bike for transportation .",0.0,0.0,0.0,0.7,0.3,House,London,Car,Winter,Caravan,Paris,Bike,Spring,Holiday1,
33,House,London,Bike,Spring,"Threatening","0","we can not agree like this !",0.0,0.0,0.0,0.0,1.0,Caravan,Istanbul,Car,Winter,House,London,Bike,Spring,Holiday1,
35,House,Paris,Bike,Spring,"Any","0","what about going to paris in spring and using bike , we can rent in a house .",0.0,0.0,0.0,0.0,1.0,House,Paris,Bus,Summer,House,London,Bike,Spring,Holiday1,
37,House,Paris,Bike,Spring,"Hard Constraint-n-d,Preference-p-r","Berlin,Paris","i can not go to berlin , i want paris . i always wonder to see paris . i always wonder to ride bike in paris streets . we can stay in a house on spring as you want .",0.0,0.0,0.0,1.0,0.0,House,Berlin,Subway,Spring,House,Paris,Bike,Spring,Holiday1,
39,Caravan,Barcelona,Bus,Autumn,"Any","0","i want to go to barcelona on fall . i want to use bus and stay in a caravan .",0.2,0.2,0.2,0.2,0.2,,,,,,,,,Holiday2,
41,Caravan,Barcelona,Bus,Autumn,"Hard Constraint-n-r,Preference-p-d,Hard Constraint-n-r","Summer,Caravan,Bike","i have no free time in summer . we could go to on fall . i also want to stay in a caravan . i do not know how to ride a bike . we can go to barcelona .",0.18,0.18,0.18,0.27,0.18,Hostel,Seoul,Bike,Summer,Caravan,Barcelona,Bus,Autumn,Holiday2,
43,Caravan,Barcelona,Bus,Autumn,"Preference-n-r","Summer","i have no time for a summer vacation . i am really busy in summer .",0.0,0.0,0.0,0.0,1.0,Hostel,Seoul,Bike,Summer,Caravan,Barcelona,Bus,Autumn,Holiday2,
45,Caravan,Barcelona,Bus,Winter,"Hard Constraint-n-d","Summer","i can not accept a summer vacation , do not insist .",0.01,0.01,0.66,0.01,0.33,Hostel,Seoul,Bike,Summer,Caravan,Barcelona,Bus,Autumn,Holiday2,
47,Caravan,Boston,Bus,Winter,"Any","0","then , what about boston in winter ? we can use bus for transportation . we can stay in a caravan .",0.0,0.11,0.61,0.0,0.28,Hotel,Milan,Bike,Spring,Caravan,Barcelona,Bus,Winter,Holiday2,
49,Caravan,Boston,Bus,Winter,"Hard Constraint-n-r,Awareness Feedback","Hotel,0","hotel is too expensive . do not insist anymore .",0.0,0.0,0.0,0.0,1.0,Hotel,Seoul,Car,Summer,Caravan,Boston,Bus,Winter,Holiday2,
51,Caravan,Boston,Subway,Winter,"Preference-n-r,Comparison","Bike,Bike","i do not know how to use bike . sorry , we can use subway instead of bike .",0.0,0.0,0.0,0.0,1.0,Hostel,Seoul,Bike,Spring,Caravan,Boston,Bus,Winter,Holiday2,
53,Hostel,Boston,Bus,Winter,"Rewarding-cc,Rewarding-cc","Boston,Hostel","thank you for winter , we can go to boston and stay in hostel as you want . we can use bus as i want .",0.0,0.0,0.0,0.72,0.28,Hostel,Seoul,Bike,Winter,Caravan,Boston,Subway,Winter,Holiday2,
55,Hostel,Boston,Subway,Autumn,"Any","0","i want to go to boston on autumn . let's use subway and stay in a hostel .",0.0,0.0,0.0,0.85,0.15,Hotel,Barcelona,Bike,Spring,Hostel,Boston,Bus,Winter,Holiday2,
57,Hostel,Milan,Subway,Autumn,"Comparison","Bike","i can accept milan , hostel and fall . however , i want to use subway instead of bike .",0.0,0.67,0.0,0.33,0.0,Hostel,Milan,Bike,Autumn,Hostel,Boston,Subway,Autumn,Holiday2,
59,Hostel,Milan,Subway,Autumn,"Preference-n-r,Preference-n-r","Amsterdam,Summer","i have already been amsterdam . also , i have no time in summer . do not insist on summer , please .",0.0,0.33,0.0,0.67,0.0,Hotel,Amsterdam,Subway,Summer,Hostel,Milan,Subway,Autumn,Holiday2,
61,House,Boston,Subway,Winter,"Any","0","what about winter ? we can stay in house in boston . we can use subway ?",0.0,0.25,0.0,0.75,0.0,Hostel,Amsterdam,Taxi,Spring,Hostel,Milan,Subway,Autumn,Holiday2,
63,Hostel,Boston,Subway,Winter,"Preference-n-r","Seoul","seoul is too far . boston is more preferable for me . we can stay in a hostel and use subway .",0.04,0.27,0.04,0.63,0.04,Hostel,Seoul,Car,Winter,House,Boston,Subway,Winter,Holiday2,
65,Hostel,Milan,Subway,Autumn,"Any","0","what about milan in fall ?",0.04,0.27,0.04,0.63,0.04,House,Seoul,Bike,Autumn,Hostel,Boston,Subway,Winter,Holiday2,
67,Hostel,Milan,Car,Autumn,"Rewarding-cc","Autumn","i can accept if we go on fall ?",0.0,0.7,0.0,0.3,0.0,Hostel,Milan,Car,Spring,Hostel,Milan,Subway,Autumn,Holiday2,
69,Hostel,Milan,Car,Autumn,"Any","0","no .",0.0,0.0,0.0,0.0,1.0,Hostel,Seoul,Taxi,Spring,Hostel,Milan,Car,Autumn,Holiday2,
71,Hostel,London,Taxi,Spring,"Any","0","i want to go to london in spring , we can use taxi and stay in a hostel .",1.0,0.0,0.0,0.0,0.0,,,,,,,,,Holiday1,
73,Hostel,London,Taxi,Spring,"Preference-n-r,Comparison","Bike,Bike","riding bike is not comfortable . taxi is more comfortable than bike .",0.0,0.0,1.0,0.0,0.0,Tent,Tokyo,Bike,Winter,Hostel,London,Taxi,Spring,Holiday1,
75,Hostel,London,Taxi,Spring,"Preference-n-r,Preference-n-r","Winter,Tent","sorry but winter could be cold . tent is not comfortable . i can not ride bike , i want to rest .",0.0,0.0,1.0,0.0,0.0,Tent,Tokyo,Bike,Winter,Hostel,London,Taxi,Spring,Holiday1,
77,House,London,Taxi,Spring,"Comparison","Tent","house is more comfortable than tent . we can go to london in spring , we can use taxi .",0.0,0.0,1.0,0.0,0.0,Tent,Tokyo,Bike,Winter,Hostel,London,Taxi,Spring,Holiday1,
79,House,London,Taxi,Autumn,"Comparison","Spring","what about autumn instead of spring ? i can not go on summer .",0.0,0.0,0.0,1.0,0.0,Tent,Tokyo,Bus,Summer,House,London,Taxi,Spring,Holiday1,
81,House,Berlin,Taxi,Autumn,"Any","0","let's go to berlin then . we can use taxi in berlin in fall . we can rent a house in berlin .",0.0,0.0,0.0,1.0,0.0,Tent,Tokyo,Bike,Winter,House,London,Taxi,Autumn,Holiday1,
83,House,Berlin,Car,Autumn,"Any","0","then let's rent a car for transportation . we can stay in a house . let's go to berlin in fall .",0.0,0.0,0.4,0.6,0.0,Tent,Tokyo,Bike,Winter,House,Berlin,Taxi,Autumn,Holiday1,
85,House,London,Taxi,Winter,"Rewarding-cc,Rewarding-cc","London,Winter","i can go to london in winter as you wish , if we use taxi and stay in a house .",0.0,0.0,0.76,0.24,0.0,Tent,Tokyo,Bus,Winter,House,Berlin,Car,Autumn,Holiday1,
87,House,London,Taxi,Winter,"Conditional Constraint-n-d","Tent;Istanbul","tent in istanbul ? it is not possible .",0.0,0.0,0.59,0.07,0.34,Tent,Istanbul,Bike,Winter,House,London,Taxi,Winter,Holiday1,
89,House,Berlin,Taxi,Winter,"Any","0","let's go to berlin in winter . we can use taxi and stay in a house .",0.0,0.0,0.56,0.14,0.31,Tent,Tokyo,Subway,Summer,House,London,Taxi,Winter,Holiday1,
91,House,Berlin,Taxi,Winter,"Preference-n-r","Bike","i want to rest , i can not ride a bike , sorry .",0.0,0.0,0.29,0.67,0.04,Caravan,Istanbul,Bike,Winter,House,Berlin,Taxi,Winter,Holiday1,
93,House,Berlin,Taxi,Winter,"Preference-n-r","Tokyo","i have already seen tokyo .",0.0,0.0,0.23,0.77,0.0,Caravan,Tokyo,Bus,Winter,House,Berlin,Taxi,Winter,Holiday1,
95,House,Berlin,Taxi,Winter,"Any","0","no .",0.0,0.0,0.0,0.0,1.0,Tent,Tokyo,Subway,Summer,House,Berlin,Taxi,Winter,Holiday1,
97,House,Berlin,Taxi,Winter,"Hard Constraint-n-d","Tent","i can not rest in a tent !",0.0,0.0,0.0,0.0,1.0,Tent,Tokyo,Bus,Winter,House,Berlin,Taxi,Winter,Holiday1,
99,House,Berlin,Taxi,Summer,"Rewarding-cc","Summer","i can go on summer if we stay in a house , use taxi and go to berlin .",0.0,0.0,0.0,0.58,0.42,Tent,Tokyo,Bike,Summer,House,Berlin,Taxi,Winter,Holiday1,
101,House,Berlin,Taxi,Summer,"Preference-n-d,Conditional Constraint-n-d","Bus,Tent;Winter","i can not use bus . i can not stay in a tent in winter .",0.0,0.0,0.0,0.42,0.58,Tent,Tokyo,Bus,Winter,House,Berlin,Taxi,Summer,Holiday1,
103,House,Berlin,Taxi,Winter,"Hard Constraint-p-d,Conditional Constraint-p-r","Taxi,Berlin;Winter","taxi is the best option for me . we can go to berlin in winter . we can watch snowing in our house .",0.0,0.71,0.0,0.07,0.23,Tent,Tokyo,Taxi,Winter,House,Berlin,Taxi,Summer,Holiday1,
105,House,Berlin,Taxi,Winter,"Preference-n-d,Preference-n-d","Bike,Tent","i can not use bike and stay in tent .",0.0,0.56,0.0,0.36,0.08,Tent,Tokyo,Bike,Winter,House,Berlin,Taxi,Winter,Holiday1,
107,House,Berlin,Taxi,Winter,"Awareness Feedback","0","we can not agree like that !",0.0,0.0,0.0,0.0,1.0,Tent,Tokyo,Bike,Winter,House,Berlin,Taxi,Winter,Holiday1,
109,House,Berlin,Taxi,Winter,"Any","0","no .",0.0,0.0,0.0,0.0,1.0,Tent,Tokyo,Bike,Winter,House,Berlin,Taxi,Winter,Holiday1,
111,Hostel,London,Taxi,Spring,"Any","0","i want to go to london in spring . i want to use taxi and stay in a hostel .",0.0,0.0,0.0,0.0,1.0,Tent,Tokyo,Bike,Winter,House,Berlin,Taxi,Winter,Holiday1,
113,Hotel,London,Taxi,Spring,"Any","0","what about hotel ?",0.0,0.0,0.0,0.68,0.32,Tent,Tokyo,Bike,Winter,Hostel,London,Taxi,Spring,Holiday1,
115,Hotel,Berlin,Taxi,Spring,"Any","0","what about berlin ?",0.0,0.0,0.0,1.0,0.0,Tent,Tokyo,Bike,Winter,Hotel,London,Taxi,Spring,Holiday1,
117,Tent,Berlin,Taxi,Spring,"Preference-n-d","Bus","i can not use bus . let's stay in tent if we go to berlin in spring , and use taxi .",0.0,0.0,0.69,0.31,0.0,Tent,Tokyo,Bus,Winter,Hotel,Berlin,Taxi,Spring,Holiday1,
119,Tent,Berlin,Taxi,Spring,"Hard Constraint-n-d","Tent","i hate tent , but its ok for me . spring is the best option for me . let's go to berlin and use taxi .",0.0,0.0,1.0,0.0,0.0,Tent,Tokyo,Bus,Spring,Tent,Berlin,Taxi,Spring,Holiday1,
121,Tent,Berlin,Taxi,Autumn,"Any","0","ok , what about fall ?",0.0,0.0,1.0,0.0,0.0,Caravan,Paris,Taxi,Winter,Tent,Berlin,Taxi,Spring,Holiday1,
123,Hostel,Seoul,Taxi,Autumn,"Any","0","i want to go to seoul in fall . we can stay in a hostel and use taxi .",0.0,0.0,1.0,0.0,0.0,,,,,,,,,Holiday2,
125,Hostel,Seoul,Taxi,Autumn,"Preference-p-r","Seoul","i wonder asian culture . let's go to seoul instead of amsterdam .",0.0,0.0,1.0,0.0,0.0,Tent,Amsterdam,Bus,Summer,Hostel,Seoul,Taxi,Autumn,Holiday2,
127,Hostel,Seoul,Taxi,Summer,"Preference-n-r","Tent","tent is not comfortable , we can stay in a hostel instead . in summer , i have different plan , but i can go to seoul with you in summer .",0.0,0.0,1.0,0.0,0.0,Tent,Amsterdam,Bus,Summer,Hostel,Seoul,Taxi,Autumn,Holiday2,
129,Hostel,Seoul,Taxi,Summer,"Preference-n-d","Boston","haha ok , i am feeling a bit happier . i can not go to boston .",0.06,0.78,0.06,0.06,0.06,Tent,Boston,Bike,Winter,Hostel,Seoul,Taxi,Summer,Holiday2,
131,Hotel,Seoul,Taxi,Autumn,"Rewarding-cc","Hotel","if we stay in hotel as you wish , we should go to korea in fall . we can use taxi .",0.06,0.78,0.06,0.06,0.06,Hotel,Boston,Bus,Spring,Hostel,Seoul,Taxi,Summer,Holiday2,
133,Hotel,Seoul,Taxi,Spring,"Rewarding-cc","Spring","i can go on spring , if we go to seoul . we can use taxi .",0.0,0.5,0.5,0.0,0.0,Hostel,Boston,Bike,Spring,Hotel,Seoul,Taxi,Autumn,Holiday2,
135,Hotel,Seoul,Taxi,Spring,"Preference-n-r","Bike","i do not know how to ride a bike .",0.0,0.0,0.28,0.72,0.0,Tent,Boston,Bike,Winter,Hotel,Seoul,Taxi,Spring,Holiday2,
137,Hostel,Seoul,Taxi,Spring,"Comparison,Hard Constraint-n-d","Tent,Boston","i prefer hostel instead of tent . i hate boston . let's use taxi in spring .",0.0,0.0,0.28,0.72,0.0,Tent,Boston,Bike,Winter,Hotel,Seoul,Taxi,Spring,Holiday2,
139,Hostel,Seoul,Taxi,Spring,"Awareness Feedback,Hard Constraint-n-d","0,Boston","you insist boston , do not do that . we can not agree like this .",0.0,0.0,0.03,0.47,0.5,Tent,Boston,Bike,Winter,Hostel,Seoul,Taxi,Spring,Holiday2,
141,Hostel,Seoul,Taxi,Spring,"Threatening","0","no .",0.0,0.0,0.0,0.0,1.0,Tent,Boston,Bike,Winter,Hostel,Seoul,Taxi,Spring,Holiday2,
143,Tent,Boston,Bike,Winter,"Acceptance","0","i accept your offer : )",0.0,0.0,0.0,0.51,0.49,Tent,Boston,Bike,Winter,Hostel,Seoul,Taxi,Spring,Holiday2,
144,Hotel,Seoul,Taxi,Spring,"Any","0","hello , let's go to kore in spring . we can stay in a hotel . we can use taxi . what do you think ?",0.0,1.0,0.0,0.0,0.0,,,,,,,,,Holiday2,
146,Hotel,Seoul,Taxi,Spring,"Preference-p-r","Seoul","i want to eat ramen in seoul . in spring , we can use taxi and stay in a hotel .",0.0,0.75,0.25,0.0,0.0,Tent,Boston,Subway,Winter,Hotel,Seoul,Taxi,Spring,Holiday2,
148,Tent,Seoul,Taxi,Spring,"Hard Constraint-n-d,Preference-n-r,Rewarding-cc","Boston,Winter,Tent","boston is disgusting . also , winter is cold . let's go in spring to seoul . i am okay staying in tent but we should use taxi .",0.0,0.75,0.25,0.0,0.0,Tent,Boston,Subway,Winter,Hotel,Seoul,Taxi,Spring,Holiday2,
150,Tent,Seoul,Taxi,Spring,"Preference-p-r","Seoul","but i haven't seen seoul yet .",0.0,0.33,0.0,0.67,0.0,Tent,Amsterdam,Car,Autumn,Tent,Seoul,Taxi,Spring,Holiday2,
152,Tent,Seoul,Taxi,Spring,"Preference-n-r","Winter","in winter i have no free time too .",0.0,0.33,0.0,0.67,0.0,Tent,Boston,Subway,Winter,Tent,Seoul,Taxi,Spring,Holiday2,
